timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2024-12-30T06:29:30.000Z,0,lap,stop,2024-12-30T06:24:27.000Z,"56,146747","10,202143","56,139048","10,206376","303,702","291,034","1000,00",427,60,134,144,87,90,0,16,distance,running,generic,26,27,"0,13","0,50","3,436","4,031",26
2024-12-30T06:34:16.000Z,1,lap,stop,2024-12-30T06:29:31.000Z,"56,139029","10,206433","56,131029","10,213091","285,811","285,811","1000,00",428,72,150,156,90,93,0,3,distance,running,generic,25,26,"0,51","0,50","3,499","3,816",25
2024-12-30T06:39:20.000Z,2,lap,stop,2024-12-30T06:34:17.000Z,"56,131000","10,213099","56,123577","10,219285","303,531","303,531","1000,00",452,79,156,161,89,93,14,7,distance,running,generic,20,25,"0,91","0,50","3,295","3,648",19
2024-12-30T06:44:30.000Z,3,lap,stop,2024-12-30T06:39:21.000Z,"56,123562","10,219304","56,116991","10,226876","310,848","310,848","1000,00",453,79,157,168,87,92,17,15,distance,running,generic,19,19,"0,95","0,50","3,217","3,816",18
2024-12-30T06:49:47.000Z,4,lap,stop,2024-12-30T06:44:31.000Z,"56,116952","10,226902","56,109536","10,232654","316,714","316,714","1000,00",464,83,161,170,87,91,22,20,distance,running,generic,19,19,"0,39","0,50","3,157","3,564",19
2024-12-30T06:54:40.000Z,5,lap,stop,2024-12-30T06:49:48.000Z,"56,109509","10,232665","56,101410","10,235759","293,273","293,273","1000,00",442,80,167,172,91,94,22,2,distance,running,generic,20,20,"0,30","0,50","3,410","3,658",19
2024-12-30T06:59:52.000Z,6,lap,stop,2024-12-30T06:54:41.000Z,"56,101383","10,235754","56,096544","10,243989","311,989","311,989","1000,00",449,80,160,169,83,91,7,27,distance,running,generic,20,20,"0,40","0,50","3,205","3,770",20
2024-12-30T07:04:58.000Z,7,lap,stop,2024-12-30T06:59:53.000Z,"56,096508","10,244011","56,088613","10,247625","305,987","305,987","1000,00",447,80,161,166,87,91,9,24,distance,running,generic,20,20,"0,70","0,50","3,268","3,555",20
2024-12-30T07:10:21.000Z,8,lap,stop,2024-12-30T07:04:59.000Z,"56,088611","10,247561","56,095262","10,242455","322,590","296,304","1000,00",449,80,165,170,89,93,18,1,distance,running,generic,21,21,"0,88","0,50","3,375","3,527",20
2024-12-30T07:15:17.000Z,9,lap,stop,2024-12-30T07:10:22.000Z,"56,095282","10,242455","56,102642","10,234592","296,423","296,423","1000,00",445,81,168,173,90,93,20,6,distance,running,generic,23,25,"0,75","0,50","3,374","3,751",21
2024-12-30T07:20:25.000Z,10,lap,stop,2024-12-30T07:15:18.000Z,"56,102669","10,234568","56,110998","10,231662","307,712","288,216","1000,00",430,69,158,165,89,93,6,22,distance,running,generic,23,25,"0,13","0,50","3,470","3,602",22
2024-12-30T07:26:03.000Z,11,lap,stop,2024-12-30T07:20:26.000Z,"56,111027","10,231628","56,118431","10,227479","337,911","337,911","1000,00",498,80,161,169,88,94,22,26,distance,running,generic,22,22,"0,60","0,50","2,959","3,546",21
2024-12-30T07:31:23.000Z,12,lap,stop,2024-12-30T07:26:04.000Z,"56,118465","10,227467","56,124497","10,217359","319,754","319,754","1000,00",473,70,156,162,89,91,5,16,distance,running,generic,21,21,"0,22","0,50","3,127","3,723",21
2024-12-30T07:36:35.000Z,13,lap,stop,2024-12-30T07:31:24.000Z,"56,124524","10,217354","56,127016","10,210022","312,442","312,442","1000,00",467,74,162,170,90,93,25,9,distance,running,generic,21,22,"0,22","0,50","3,201","3,630",21
2024-12-30T07:42:10.000Z,14,lap,stop,2024-12-30T07:36:36.000Z,"56,126992","10,210004","56,124462","10,199322","334,991","334,991","1000,00",503,88,166,171,90,93,34,3,distance,running,generic,21,21,"0,77","0,50","2,985","3,098",21
2024-12-30T07:47:33.000Z,15,lap,stop,2024-12-30T07:42:11.000Z,"56,124478","10,199286","56,130779","10,199869","323,152","313,691","1000,00",457,56,150,167,86,93,0,38,distance,running,generic,21,22,"0,98","0,50","3,188","3,508",21
2024-12-30T07:53:06.000Z,16,lap,stop,2024-12-30T07:47:34.000Z,"56,130803","10,199839","56,135448","10,191376","332,291","312,725","1000,00",451,50,153,161,86,123,1,11,distance,running,generic,21,22,"0,29","0,00","3,198","3,648",20
2024-12-30T08:00:27.000Z,17,lap,stop,2024-12-30T07:53:07.000Z,"56,135493","10,191423","56,142825","10,195480","441,187","309,823","1000,00",457,51,151,162,87,93,7,0,distance,running,generic,22,23,"0,69","0,50","3,228","3,406",20
2024-12-30T08:05:21.000Z,18,lap,stop,2024-12-30T08:00:28.000Z,"56,142853","10,195478","56,145895","10,195287","294,047","294,047","1000,00",440,59,157,163,90,93,1,4,distance,running,generic,21,21,"0,88","0,50","3,401","3,975",20
2024-12-30T08:08:04.000Z,19,lap,stop,2024-12-30T08:05:22.000Z,"56,145922","10,195284","56,147092","10,195875","144,693","42,769","136,55",59,7,146,156,85,91,0,1,sessionEnd,running,generic,22,24,"0,98","0,50","3,193","3,228",21
