timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-14T19:04:34.000Z,0,lap,stop,2025-01-14T19:00:08.000Z,"56,146750","10,202187","56,139622","10,205931","266,249","266,249","1000,00",395,64,143,153,87,92,0,20,distance,running,generic,23,26,"0,37","0,50","3,756","4,208",21
2025-01-14T19:10:37.000Z,1,lap,stop,2025-01-14T19:04:35.000Z,"56,139622","10,206015","56,131271","10,212593","362,805","262,712","1000,00",389,66,150,161,88,93,0,4,distance,running,generic,22,22,"0,27","0,50","3,806","4,115",21
2025-01-14T19:14:57.000Z,2,lap,stop,2025-01-14T19:10:38.000Z,"56,131243","10,212569","56,125603","10,205541","260,420","260,420","1000,00",401,74,169,178,93,96,32,5,distance,running,generic,18,21,"0,00","0,50","3,840","3,966",16
2025-01-14T19:19:11.000Z,3,lap,stop,2025-01-14T19:14:58.000Z,"56,125590","10,205499","56,127627","10,198581","253,873","253,873","1000,00",385,76,174,180,91,94,20,15,distance,running,generic,16,16,"0,50","0,50","3,939","4,385",16
2025-01-14T19:23:13.000Z,4,lap,stop,2025-01-14T19:19:12.000Z,"56,127660","10,198619","56,134023","10,196300","241,280","241,280","1000,00",363,69,167,176,90,93,0,25,distance,running,generic,17,18,"0,63","0,50","4,145","4,311",16
2025-01-14T19:27:37.000Z,5,lap,stop,2025-01-14T19:23:14.000Z,"56,134058","10,196289","56,142908","10,194255","263,972","263,972","1000,00",401,78,172,177,92,94,4,1,distance,running,generic,19,19,"0,06","0,50","3,788","4,180",18
2025-01-14T19:31:22.000Z,6,lap,stop,2025-01-14T19:27:38.000Z,"56,142940","10,194232","56,148552","10,199017","225,535","225,535","1000,00",342,67,174,177,92,94,5,5,distance,running,generic,19,20,"0,11","0,50","4,434","5,207",19
2025-01-14T19:35:30.000Z,7,lap,stop,2025-01-14T19:31:23.000Z,"56,148578","10,199011","56,153217","10,203979","247,607","247,607","1000,00",377,76,178,182,91,94,6,7,distance,running,generic,20,21,"0,94","0,50","4,039","4,469",20
2025-01-14T19:39:26.000Z,8,lap,stop,2025-01-14T19:35:31.000Z,"56,153226","10,204035","56,153987","10,212151","236,490","236,490","1000,00",358,70,175,179,91,93,0,11,distance,running,generic,21,21,"0,84","0,50","4,229","4,516",20
2025-01-14T19:43:38.000Z,9,lap,stop,2025-01-14T19:39:27.000Z,"56,153961","10,212188","56,147346","10,205380","251,455","251,455","1000,00",387,77,178,182,92,94,13,0,distance,running,generic,21,21,"0,85","0,50","3,977","4,441",20
2025-01-14T19:44:30.000Z,10,lap,stop,2025-01-14T19:43:39.000Z,"56,147346","10,205325","56,147341","10,205272","1,900","1,900","9,34",3,0,180,180,93,93,0,0,sessionEnd,running,generic,21,21,"0,00","0,50","4,916","3,620",21
