timestamp,message index,event,event type,start time,start position lat,start position long,end position lat,end position long,total elapsed time,total timer time,total distance,total cycles,total calories,avg heart rate,max heart rate,avg cadence,max cadence,total ascent,total descent,lap trigger,sport,sub sport,avg temperature,max temperature,avg fractional cadence,max fractional cadence,enhanced avg speed,enhanced max speed,min temperature
2025-01-11T12:17:02.000Z,0,lap,stop,2025-01-11T12:12:38.000Z,"56,147178","10,202055","56,139858","10,205964","264,198","256,059","1000,00",384,62,144,157,87,93,0,18,distance,running,generic,27,29,"0,24","0,50","3,905","4,357",27
2025-01-11T12:21:20.000Z,1,lap,stop,2025-01-11T12:17:03.000Z,"56,139828","10,205994","56,132251","10,211999","257,811","247,979","1000,00",373,68,160,167,90,94,2,6,distance,running,generic,27,27,"0,80","0,50","4,033","4,572",27
2025-01-11T12:25:39.000Z,2,lap,stop,2025-01-11T12:21:21.000Z,"56,132222","10,212030","56,124460","10,217289","258,966","258,966","1000,00",395,74,168,173,92,93,13,3,distance,running,generic,27,28,"0,16","0,50","3,862","3,938",27
2025-01-11T12:30:01.000Z,3,lap,stop,2025-01-11T12:25:40.000Z,"56,124427","10,217299","56,118444","10,227064","262,379","262,379","1000,00",394,75,169,177,90,98,13,12,distance,running,generic,28,28,"0,44","0,50","3,811","4,161",28
2025-01-11T12:34:49.000Z,4,lap,stop,2025-01-11T12:30:02.000Z,"56,118413","10,227086","56,111733","10,232339","287,803","287,803","1000,00",429,85,175,179,90,95,31,20,distance,running,generic,28,29,"0,13","0,50","3,475","4,124",25
2025-01-11T12:39:39.000Z,5,lap,stop,2025-01-11T12:34:50.000Z,"56,111748","10,232383","56,104047","10,234776","290,002","290,002","1000,00",428,88,179,185,89,96,30,26,distance,running,generic,22,25,"0,55","0,50","3,448","4,647",20
2025-01-11T12:45:18.000Z,6,lap,stop,2025-01-11T12:39:40.000Z,"56,104018","10,234779","56,110105","10,228859","339,360","312,529","1000,00",442,93,176,187,84,114,32,28,distance,running,generic,19,20,"0,01","0,00","3,200","4,329",17
2025-01-11T12:50:03.000Z,7,lap,stop,2025-01-11T12:45:19.000Z,"56,110149","10,228812","56,116820","10,219463","284,183","284,183","1000,00",434,85,176,184,91,94,27,16,distance,running,generic,17,18,"0,98","0,50","3,519","4,815",17
2025-01-11T12:54:44.000Z,8,lap,stop,2025-01-11T12:50:04.000Z,"56,116818","10,219423","56,120553","10,208191","281,012","281,012","1000,00",424,82,175,183,91,94,14,21,distance,running,generic,18,18,"0,26","0,50","3,559","4,208",17
2025-01-11T12:59:43.000Z,9,lap,stop,2025-01-11T12:54:45.000Z,"56,120573","10,208163","56,125473","10,195964","299,251","285,304","1000,00",431,85,176,181,89,94,23,18,distance,running,generic,17,18,"0,78","0,50","3,505","4,078",16
2025-01-11T13:04:08.000Z,10,lap,stop,2025-01-11T12:59:44.000Z,"56,125498","10,195919","56,132687","10,199509","265,557","256,533","1000,00",387,72,170,176,90,102,0,42,distance,running,generic,16,17,"0,76","0,00","3,898","4,815",16
2025-01-11T13:09:25.000Z,11,lap,stop,2025-01-11T13:04:09.000Z,"56,132700","10,199556","56,140364","10,199834","316,859","264,811","1000,00",406,66,166,175,92,97,5,8,distance,running,generic,17,18,"0,48","0,00","3,776","4,003",17
2025-01-11T13:13:45.000Z,12,lap,stop,2025-01-11T13:09:26.000Z,"56,140397","10,199826","56,147074","10,200837","259,660","257,791","1000,00",399,76,175,177,93,98,9,1,distance,running,generic,16,17,"0,27","0,50","3,879","4,451",16
2025-01-11T13:15:48.000Z,13,lap,stop,2025-01-11T13:13:46.000Z,"56,147073","10,200786","56,146495","10,202231","71,993","71,993","309,83",108,21,177,181,93,101,3,2,sessionEnd,running,generic,16,16,"0,45","0,00","4,304","5,524",16
